cap;5.3.2023;;;;;ice;5.3.2023;;;;;temp;5.3.2023;;;;
;472640.095;502205.6862;561216.4299;643246.9643;729782.016;;0.246773941;0.249214497;0.253646712;0.259014459;0.263905875;;-0.176002498;-0.187012275;-0.208987013;-0.239534063;-0.271758632
;400564.3399;427954.6633;480819.576;555494.4964;636857.8316;;0.235825633;0.238537337;0.24326924;0.249049429;0.254434534;;-0.149162629;-0.159362343;-0.179048411;-0.206856247;-0.237154834
;328028.3579;353627.4736;400891.6749;468497.8801;544594.6021;;0.219826192;0.22303721;0.228289005;0.234687486;0.240751006;;-0.122151447;-0.13168412;-0.149284523;-0.174460001;-0.202797283
;255150.1118;279171.4979;321386.4663;382236.4434;452995.2163;;0.202889767;0.206954702;0.213096767;0.220449496;0.227482244;;-0.094949098;-0.103958009;-0.119678121;-0.142337622;-0.16868705
;188758.0599;208705.9622;243310.1596;297148.0055;362539.4491;;0.18665561;0.191550678;0.198617895;0.207468242;0.215994293;;-0.067677907;-0.076315544;-0.090372156;-0.110652142;-0.13500279
;132532.7456;148873.5198;175188.858;216644.3889;273900.323;;0.170257522;0.176540623;0.184614509;0.194537693;0.205035631;;-0.040502625;-0.048912669;-0.061538586;-0.079637469;-0.101995118
;86592.41396;99736.66469;119274.0899;149884.4099;193739.7181;;0.149037501;0.157798653;0.16769424;0.179212532;0.191348179;;-0.01356971;-0.021884952;-0.033289467;-0.049417393;-0.069876164
;50727.16003;60947.2599;74934.63822;96706.44888;129131.6381;;0.11327831;0.127488574;0.141535215;0.156381931;0.171429893;;0.013075415;0.004720489;-0.00564862;-0.020019101;-0.038688086
;24526.83948;32097.70203;41515.10714;56158.12871;78994.67087;;0.046793689;0.074609822;0.097704528;0.120073506;0.141734694;;0.039557432;0.030855257;0.021363286;0.008540524;-0.008472948
;8304.064869;13146.36447;18431.27897;27405.52416;42434.11463;;0;0;0.019108577;0.057343116;0.095864734;;0.064830414;0.055748825;0.047603801;0.036108777;0.02049767
;584.4225218;2273.627706;4856.06065;10066.32402;18742.09016;;0;0;0;0;0.01924209;;0.090669925;0.081597305;0.073105475;0.061278036;0.047163863
;0;0;10.31125684;1111.468584;4888.253065;;0;0;0;0;0;;0.116385928;0.107315813;0.098760697;0.087133208;0.073016476
;0;0;0;0;6.917733979;;0;0;0;0;0;;0.141983913;0.132909951;0.124290125;0.112837589;0.098984912
;0;0;0;0;0;;0;0;0;0;0;;0.167544251;0.158460413;0.149775563;0.138477507;0.124867401
